Reservoir_Name,Date,Rainfall_mm,Inflow_cumecs,Outflow_cumecs,Runoff_Factor,Storage_BCM,Capacity_Percentage
Indira Sagar,2014-02-05,0.0,0.21,1.67,0.56,2.4292,19.91
Indira Sagar,2014-02-06,0.0,0.32,1.78,0.56,2.2826,18.71
Indira Sagar,2014-02-07,0.0,0.45,1.11,0.56,2.2171,18.17
Indira Sagar,2014-02-08,0.01,0.42,1.67,0.56,2.0923,17.15
Indira Sagar,2014-02-09,0.0,0.1,1.87,0.56,1.9161,15.71
Indira Sagar,2014-02-10,0.0,0.31,1.49,0.56,1.7977,14.74
Indira Sagar,2014-02-11,1.24,3.78,1.33,0.56,2.0431,16.75
Indira Sagar,2014-02-12,0.0,0.22,1.18,0.56,1.947,15.96
Indira Sagar,2014-02-13,0.0,0.31,1.29,0.56,1.8484,15.15
Indira Sagar,2014-02-14,1.43,4.31,1.84,0.56,2.0951,17.17
Indira Sagar,2014-02-15,0.0,0.22,1.83,0.56,1.9343,15.86
Indira Sagar,2014-02-16,0.0,0.17,1.92,0.56,1.7588,14.42
Indira Sagar,2014-02-17,0.0,0.16,1.02,0.56,1.6729,13.71
Indira Sagar,2014-02-18,0.0,0.34,1.06,0.56,1.6007,13.12
Indira Sagar,2014-02-19,0.0,0.2,1.88,0.56,1.4319,11.74
Indira Sagar,2014-02-20,0.0,0.33,1.89,0.56,1.2753,10.45
Indira Sagar,2014-02-21,0.0,0.24,1.25,0.56,1.1746,9.63
Indira Sagar,2014-02-22,0.0,0.23,1.07,0.56,1.0907,8.94
Indira Sagar,2014-02-23,0.0,0.44,1.67,0.56,0.9678,7.93
Indira Sagar,2014-02-24,0.0,0.11,1.06,0.56,0.8728,7.15
Indira Sagar,2014-02-25,0.0,0.34,1.29,0.56,0.7787,6.38
Indira Sagar,2014-02-26,0.2,0.76,1.54,0.56,0.7006,5.74
Indira Sagar,2014-02-27,0.0,0.23,1.79,0.56,0.5438,4.46
Indira Sagar,2014-02-28,0.0,0.12,1.36,0.56,0.4192,3.44
Indira Sagar,2014-03-01,0.0,0.42,1.46,0.56,0.3156,2.59
Indira Sagar,2014-03-02,0.0,0.19,1.26,0.56,0.2091,1.71
Indira Sagar,2014-03-03,0.0,0.46,1.73,0.56,0.082,0.67
Indira Sagar,2014-03-04,1.25,3.86,1.03,0.56,0.3651,2.99
Indira Sagar,2014-03-05,0.0,0.35,1.4,0.56,0.2596,2.13
Indira Sagar,2014-03-06,0.0,0.1,1.05,0.56,0.1649,1.35
Indira Sagar,2014-03-07,0.02,0.37,1.76,0.56,0.0263,0.22
Indira Sagar,2014-03-08,0.0,0.3,1.89,0.56,0.0,0.0
Indira Sagar,2014-03-09,2.76,8.04,1.68,0.56,0.6358,5.21
Indira Sagar,2014-03-10,0.0,0.42,1.81,0.56,0.4972,4.08
Indira Sagar,2014-03-11,0.0,0.26,1.71,0.56,0.3524,2.89
Indira Sagar,2014-03-12,1.27,3.72,1.49,0.56,0.5745,4.71
Indira Sagar,2014-03-13,0.0,0.37,1.88,0.56,0.4234,3.47
Indira Sagar,2014-03-14,1.26,3.91,1.38,0.56,0.6762,5.54
Indira Sagar,2014-03-15,0.0,0.14,1.35,0.56,0.5556,4.55
Indira Sagar,2014-03-16,0.0,0.11,1.11,0.56,0.4555,3.73
Indira Sagar,2014-03-17,0.0,0.3,1.19,0.56,0.367,3.01
Indira Sagar,2014-03-18,0.0,0.42,1.65,0.56,0.2443,2.0
Indira Sagar,2014-03-19,0.0,0.23,1.01,0.56,0.1666,1.37
Indira Sagar,2014-03-20,0.0,0.19,1.0,0.56,0.0855,0.7
Indira Sagar,2014-03-21,0.0,0.2,1.01,0.56,0.0046,0.04
Indira Sagar,2014-03-22,0.0,0.49,1.77,0.56,0.0,0.0
Indira Sagar,2014-03-23,0.0,0.19,1.93,0.56,0.0,0.0
Indira Sagar,2014-03-24,0.0,0.17,1.65,0.56,0.0,0.0
Indira Sagar,2014-03-25,2.56,7.59,1.07,0.56,0.652,5.34
Indira Sagar,2014-03-26,0.0,0.25,1.39,0.56,0.5384,4.41
Indira Sagar,2014-03-27,0.0,0.3,1.07,0.56,0.4606,3.78
Indira Sagar,2014-03-28,3.04,8.8,1.34,0.56,1.2063,9.89
Indira Sagar,2014-03-29,0.0,0.27,1.21,0.56,1.1123,9.12
Indira Sagar,2014-03-30,0.12,0.51,1.1,0.56,1.0529,8.63
Indira Sagar,2014-03-31,0.0,0.45,1.16,0.56,0.982,8.05
Indira Sagar,2014-04-01,0.0,0.22,1.83,0.56,0.8206,6.73
Indira Sagar,2014-04-02,0.0,0.16,1.35,0.56,0.702,5.75
Indira Sagar,2014-04-03,0.0,0.34,1.13,0.56,0.6227,5.1
Indira Sagar,2014-04-04,0.0,0.35,1.47,0.56,0.5113,4.19
Indira Sagar,2014-04-05,0.01,0.24,1.85,0.56,0.3498,2.87
Indira Sagar,2014-04-06,0.0,0.15,1.43,0.56,0.222,1.82
Indira Sagar,2014-04-07,0.0,0.21,1.56,0.56,0.0872,0.71
Indira Sagar,2014-04-08,0.0,0.23,1.85,0.56,0.0,0.0
Indira Sagar,2014-04-09,0.0,0.1,1.18,0.56,0.0,0.0
Indira Sagar,2014-04-10,0.0,0.4,1.63,0.56,0.0,0.0
Indira Sagar,2014-04-11,0.0,0.35,1.68,0.56,0.0,0.0
Indira Sagar,2014-04-12,0.71,2.15,1.55,0.56,0.0597,0.49
Indira Sagar,2014-04-13,0.0,0.12,1.59,0.56,0.0,0.0
Indira Sagar,2014-04-14,0.0,0.21,1.63,0.56,0.0,0.0
Indira Sagar,2014-04-15,0.0,0.45,1.03,0.56,0.0,0.0
Indira Sagar,2014-04-16,0.0,0.15,1.85,0.56,0.0,0.0
Indira Sagar,2014-04-17,0.0,0.14,1.97,0.56,0.0,0.0
Indira Sagar,2014-04-18,0.0,0.38,1.56,0.56,0.0,0.0
Indira Sagar,2014-04-19,0.0,0.34,1.96,0.56,0.0,0.0
Indira Sagar,2014-04-20,0.0,0.15,1.09,0.56,0.0,0.0
Indira Sagar,2014-04-21,0.51,1.81,1.97,0.56,0.0,0.0
Indira Sagar,2014-04-22,0.0,0.15,1.37,0.56,0.0,0.0
Indira Sagar,2014-04-23,0.0,0.38,1.7,0.56,0.0,0.0
Indira Sagar,2014-04-24,0.0,0.5,1.73,0.56,0.0,0.0
Indira Sagar,2014-04-25,0.0,0.16,1.84,0.56,0.0,0.0
Indira Sagar,2014-04-26,0.0,0.32,1.02,0.56,0.0,0.0
Indira Sagar,2014-04-27,0.0,0.21,1.97,0.56,0.0,0.0
Indira Sagar,2014-04-28,0.0,0.25,1.0,0.56,0.0,0.0
Indira Sagar,2014-04-29,0.0,0.21,1.97,0.56,0.0,0.0
Indira Sagar,2014-04-30,0.79,2.48,1.01,0.56,0.1466,1.2
Indira Sagar,2014-05-01,0.0,0.23,1.81,0.56,0.0,0.0
Indira Sagar,2014-05-02,0.0,0.27,1.32,0.56,0.0,0.0
Indira Sagar,2014-05-03,0.0,0.46,1.57,0.56,0.0,0.0
Indira Sagar,2014-05-04,0.0,0.35,1.73,0.56,0.0,0.0
Indira Sagar,2014-05-05,0.0,0.21,1.59,0.56,0.0,0.0
Indira Sagar,2014-05-06,0.56,1.68,1.97,0.56,0.0,0.0
Indira Sagar,2014-05-07,0.0,0.19,1.6,0.56,0.0,0.0
Indira Sagar,2014-05-08,0.0,0.25,1.58,0.56,0.0,0.0
Indira Sagar,2014-05-09,0.0,0.44,1.42,0.56,0.0,0.0
Indira Sagar,2014-05-10,0.0,0.47,1.27,0.56,0.0,0.0
Indira Sagar,2014-05-11,0.0,0.31,1.97,0.56,0.0,0.0
Indira Sagar,2014-05-12,0.0,0.35,1.24,0.56,0.0,0.0
Indira Sagar,2014-05-13,0.0,0.17,1.88,0.56,0.0,0.0
Indira Sagar,2014-05-14,4.59,13.25,1.69,0.56,1.1559,9.47
Indira Sagar,2014-05-15,0.0,0.31,1.28,0.56,1.0585,8.68
Indira Sagar,2014-05-16,0.0,0.38,1.63,0.56,0.9334,7.65
Indira Sagar,2014-05-17,0.0,0.18,1.79,0.56,0.7725,6.33
Indira Sagar,2014-05-18,0.0,0.47,1.53,0.56,0.6664,5.46
Indira Sagar,2014-05-19,0.0,0.23,1.33,0.56,0.5572,4.57
Indira Sagar,2014-05-20,0.0,0.11,1.19,0.56,0.4496,3.69
Indira Sagar,2014-05-21,0.0,0.49,1.26,0.56,0.3721,3.05
Indira Sagar,2014-05-22,0.0,0.31,1.12,0.56,0.2911,2.39
Indira Sagar,2014-05-23,0.0,0.34,1.32,0.56,0.1929,1.58
Indira Sagar,2014-05-24,0.0,0.28,1.9,0.56,0.031,0.25
Indira Sagar,2014-05-25,0.0,0.26,1.71,0.56,0.0,0.0
Indira Sagar,2014-05-26,0.0,0.24,1.13,0.56,0.0,0.0
Indira Sagar,2014-05-27,0.0,0.41,1.76,0.56,0.0,0.0
Indira Sagar,2014-05-28,0.0,0.29,1.85,0.56,0.0,0.0
Indira Sagar,2014-05-29,0.0,0.19,1.8,0.56,0.0,0.0
Indira Sagar,2014-05-30,0.0,0.33,1.37,0.56,0.0,0.0
Indira Sagar,2014-05-31,0.0,0.12,1.4,0.56,0.0,0.0
Indira Sagar,2014-06-01,11.32,31.86,0.92,0.56,3.0935,25.36
Indira Sagar,2014-06-02,3.96,11.17,0.51,0.56,4.1598,34.1
Indira Sagar,2014-06-03,5.3,15.06,0.91,0.56,5.5745,45.69
Indira Sagar,2014-06-04,16.19,45.51,0.51,0.56,10.0741,82.57
Indira Sagar,2014-06-05,32.33,90.61,0.84,0.56,12.2,100.0
Indira Sagar,2014-06-06,23.51,65.85,0.94,0.56,12.2,100.0
Indira Sagar,2014-06-07,13.91,39.26,0.79,0.56,12.2,100.0
Indira Sagar,2014-06-08,10.34,29.29,0.55,0.56,12.2,100.0
Indira Sagar,2014-06-09,7.94,22.64,0.81,0.56,12.2,100.0
Indira Sagar,2014-06-10,0.0,0.26,0.8,0.56,12.146,99.56
Indira Sagar,2014-06-11,16.01,44.79,0.72,0.56,12.2,100.0
Indira Sagar,2014-06-12,0.0,0.43,0.51,0.56,12.1916,99.93
Indira Sagar,2014-06-13,9.45,26.49,0.74,0.56,12.2,100.0
Indira Sagar,2014-06-14,9.6,27.19,0.96,0.56,12.2,100.0
Indira Sagar,2014-06-15,6.08,17.16,0.76,0.56,12.2,100.0
Indira Sagar,2014-06-16,14.1,39.53,0.92,0.56,12.2,100.0
Indira Sagar,2014-06-17,1.4,4.28,0.71,0.56,12.2,100.0
Indira Sagar,2014-06-18,8.19,23.09,0.79,0.56,12.2,100.0
Indira Sagar,2014-06-19,0.0,0.29,0.98,0.56,12.1308,99.43
Indira Sagar,2014-06-20,0.0,0.34,0.53,0.56,12.112,99.28
Indira Sagar,2014-06-21,0.0,0.17,0.99,0.56,12.0296,98.6
Indira Sagar,2014-06-22,3.59,10.45,0.58,0.56,12.2,100.0
Indira Sagar,2014-06-23,0.0,0.33,0.66,0.56,12.167,99.73
Indira Sagar,2014-06-24,3.86,11.09,0.71,0.56,12.2,100.0
Indira Sagar,2014-06-25,0.0,0.23,0.94,0.56,12.1289,99.42
Indira Sagar,2014-06-26,2.76,7.97,0.77,0.56,12.2,100.0
Indira Sagar,2014-06-27,6.96,19.51,0.71,0.56,12.2,100.0
Indira Sagar,2014-06-28,2.04,5.81,0.51,0.56,12.2,100.0
Indira Sagar,2014-06-29,17.49,49.2,0.64,0.56,12.2,100.0
Indira Sagar,2014-06-30,0.0,0.17,0.53,0.56,12.1641,99.71
Indira Sagar,2014-07-01,3.44,9.95,0.98,0.56,12.2,100.0
Indira Sagar,2014-07-02,3.64,10.58,0.77,0.56,12.2,100.0
Indira Sagar,2014-07-03,18.26,51.13,0.92,0.56,12.2,100.0
Indira Sagar,2014-07-04,3.34,9.74,0.52,0.56,12.2,100.0
Indira Sagar,2014-07-05,8.73,24.5,0.67,0.56,12.2,100.0
Indira Sagar,2014-07-06,7.51,21.21,0.71,0.56,12.2,100.0
Indira Sagar,2014-07-07,11.5,32.33,0.9,0.56,12.2,100.0
Indira Sagar,2014-07-08,8.29,23.54,0.8,0.56,12.2,100.0
Indira Sagar,2014-07-09,12.53,35.13,0.77,0.56,12.2,100.0
Indira Sagar,2014-07-10,7.98,22.66,0.8,0.56,12.2,100.0
Indira Sagar,2014-07-11,9.79,27.7,0.58,0.56,12.2,100.0
Indira Sagar,2014-07-12,0.0,0.28,0.54,0.56,12.1735,99.78
Indira Sagar,2014-07-13,28.22,78.83,0.79,0.56,12.2,100.0
Indira Sagar,2014-07-14,0.0,0.19,0.98,0.56,12.1208,99.35
Indira Sagar,2014-07-15,0.0,0.32,0.74,0.56,12.0795,99.01
Indira Sagar,2014-07-16,12.88,36.3,0.63,0.56,12.2,100.0
Indira Sagar,2014-07-17,9.41,26.56,0.72,0.56,12.2,100.0
Indira Sagar,2014-07-18,0.0,0.47,0.91,0.56,12.1565,99.64
Indira Sagar,2014-07-19,15.64,43.89,0.67,0.56,12.2,100.0
Indira Sagar,2014-07-20,11.23,31.5,0.8,0.56,12.2,100.0
Indira Sagar,2014-07-21,11.49,32.2,0.87,0.56,12.2,100.0
Indira Sagar,2014-07-22,11.87,33.39,0.81,0.56,12.2,100.0
Indira Sagar,2014-07-23,9.86,27.82,0.8,0.56,12.2,100.0
Indira Sagar,2014-07-24,1.54,4.4,0.94,0.56,12.2,100.0
Indira Sagar,2014-07-25,3.67,10.44,0.87,0.56,12.2,100.0
Indira Sagar,2014-07-26,21.38,59.96,0.52,0.56,12.2,100.0
Indira Sagar,2014-07-27,35.48,99.21,0.59,0.56,12.2,100.0
Indira Sagar,2014-07-28,3.16,8.93,0.67,0.56,12.2,100.0
Indira Sagar,2014-07-29,7.36,20.91,0.61,0.56,12.2,100.0
Indira Sagar,2014-07-30,13.79,38.6,0.53,0.56,12.2,100.0
Indira Sagar,2014-07-31,0.0,0.34,0.93,0.56,12.1418,99.52
Indira Sagar,2014-08-01,10.61,29.93,0.88,0.56,12.2,100.0
Indira Sagar,2014-08-02,0.0,0.15,0.66,0.56,12.1491,99.58
Indira Sagar,2014-08-03,15.89,44.55,0.7,0.56,12.2,100.0
Indira Sagar,2014-08-04,7.1,19.97,0.81,0.56,12.2,100.0
Indira Sagar,2014-08-05,1.61,4.7,0.8,0.56,12.2,100.0
Indira Sagar,2014-08-06,5.94,16.75,0.94,0.56,12.2,100.0
Indira Sagar,2014-08-07,0.0,0.4,0.82,0.56,12.1584,99.66
Indira Sagar,2014-08-08,0.0,0.34,0.86,0.56,12.1073,99.24
Indira Sagar,2014-08-09,8.14,23.11,0.91,0.56,12.2,100.0
Indira Sagar,2014-08-10,15.92,44.56,0.87,0.56,12.2,100.0
Indira Sagar,2014-08-11,4.23,11.9,0.9,0.56,12.2,100.0
Indira Sagar,2014-08-12,9.91,27.94,0.84,0.56,12.2,100.0
Indira Sagar,2014-08-13,0.0,0.38,0.92,0.56,12.1459,99.56
Indira Sagar,2014-08-14,6.47,18.27,0.65,0.56,12.2,100.0
Indira Sagar,2014-08-15,11.92,33.45,0.69,0.56,12.2,100.0
Indira Sagar,2014-08-16,14.68,41.43,0.99,0.56,12.2,100.0
Indira Sagar,2014-08-17,0.0,0.44,0.99,0.56,12.1448,99.55
Indira Sagar,2014-08-18,22.87,64.07,0.93,0.56,12.2,100.0
Indira Sagar,2014-08-19,0.0,0.46,0.69,0.56,12.1765,99.81
Indira Sagar,2014-08-20,9.18,25.86,0.55,0.56,12.2,100.0
Indira Sagar,2014-08-21,4.52,12.74,0.52,0.56,12.2,100.0
Indira Sagar,2014-08-22,14.04,39.48,0.91,0.56,12.2,100.0
Indira Sagar,2014-08-23,11.22,31.49,0.91,0.56,12.2,100.0
Indira Sagar,2014-08-24,11.3,31.71,0.98,0.56,12.2,100.0
Indira Sagar,2014-08-25,5.57,15.85,0.74,0.56,12.2,100.0
Indira Sagar,2014-08-26,2.02,5.84,0.64,0.56,12.2,100.0
Indira Sagar,2014-08-27,6.83,19.43,0.84,0.56,12.2,100.0
Indira Sagar,2014-08-28,12.71,35.56,0.63,0.56,12.2,100.0
Indira Sagar,2014-08-29,1.89,5.43,0.68,0.56,12.2,100.0
Indira Sagar,2014-08-30,15.35,43.21,0.57,0.56,12.2,100.0
Indira Sagar,2014-08-31,2.08,6.28,0.54,0.56,12.2,100.0
Indira Sagar,2014-09-01,2.32,6.88,0.65,0.56,12.2,100.0
Indira Sagar,2014-09-02,0.0,0.18,0.76,0.56,12.1421,99.53
Indira Sagar,2014-09-03,15.43,43.41,0.97,0.56,12.2,100.0
Indira Sagar,2014-09-04,1.76,5.39,0.69,0.56,12.2,100.0
Indira Sagar,2014-09-05,0.0,0.21,0.51,0.56,12.17,99.75
Indira Sagar,2014-09-06,4.17,11.74,0.57,0.56,12.2,100.0
Indira Sagar,2014-09-07,8.05,22.6,0.87,0.56,12.2,100.0
Indira Sagar,2014-09-08,0.0,0.41,0.73,0.56,12.168,99.74
Indira Sagar,2014-09-09,3.25,9.44,0.74,0.56,12.2,100.0
Indira Sagar,2014-09-10,14.63,41.15,0.92,0.56,12.2,100.0
Indira Sagar,2014-09-11,0.0,0.19,0.59,0.56,12.1599,99.67
Indira Sagar,2014-09-12,3.69,10.68,0.73,0.56,12.2,100.0
Indira Sagar,2014-09-13,6.44,18.24,0.52,0.56,12.2,100.0
Indira Sagar,2014-09-14,22.91,63.98,0.64,0.56,12.2,100.0
Indira Sagar,2014-09-15,4.25,12.06,0.84,0.56,12.2,100.0
Indira Sagar,2014-09-16,0.0,0.1,0.61,0.56,12.1493,99.58
Indira Sagar,2014-09-17,3.37,9.71,0.58,0.56,12.2,100.0
Indira Sagar,2014-09-18,2.03,5.76,0.74,0.56,12.2,100.0
Indira Sagar,2014-09-19,14.7,41.14,0.63,0.56,12.2,100.0
Indira Sagar,2014-09-20,0.0,0.37,0.72,0.56,12.1647,99.71
Indira Sagar,2014-09-21,0.0,0.35,0.62,0.56,12.1381,99.49
Indira Sagar,2014-09-22,3.7,10.79,0.93,0.56,12.2,100.0
Indira Sagar,2014-09-23,3.74,10.89,0.54,0.56,12.2,100.0
Indira Sagar,2014-09-24,0.0,0.16,0.88,0.56,12.1279,99.41
Indira Sagar,2014-09-25,11.57,32.66,0.5,0.56,12.2,100.0
Indira Sagar,2014-09-26,6.83,19.36,0.85,0.56,12.2,100.0
Indira Sagar,2014-09-27,4.77,13.73,0.76,0.56,12.2,100.0
Indira Sagar,2014-09-28,4.08,11.63,0.89,0.56,12.2,100.0
Indira Sagar,2014-09-29,26.26,73.53,0.63,0.56,12.2,100.0
Indira Sagar,2014-09-30,0.0,0.48,0.5,0.56,12.1982,99.99
Indira Sagar,2014-10-01,0.0,0.29,1.08,0.56,12.12,99.34
Indira Sagar,2014-10-02,0.0,0.13,1.94,0.56,11.9396,97.87
Indira Sagar,2014-10-03,0.0,0.19,1.81,0.56,11.7779,96.54
Indira Sagar,2014-10-04,0.0,0.2,1.5,0.56,11.6476,95.47
Indira Sagar,2014-10-05,0.0,0.23,1.41,0.56,11.5296,94.5
Indira Sagar,2014-10-06,0.0,0.22,1.85,0.56,11.3669,93.17
Indira Sagar,2014-10-07,0.0,0.27,1.08,0.56,11.2854,92.5
Indira Sagar,2014-10-08,0.45,1.65,1.1,0.56,11.3403,92.95
Indira Sagar,2014-10-09,0.0,0.41,1.29,0.56,11.2528,92.24
Indira Sagar,2014-10-10,0.0,0.2,1.88,0.56,11.0849,90.86
Indira Sagar,2014-10-11,0.0,0.49,1.55,0.56,10.9789,89.99
Indira Sagar,2014-10-12,0.2,1.06,1.41,0.56,10.9441,89.71
Indira Sagar,2014-10-13,0.0,0.21,1.71,0.56,10.7944,88.48
Indira Sagar,2014-10-14,0.0,0.31,1.03,0.56,10.7222,87.89
Indira Sagar,2014-10-15,0.0,0.44,1.13,0.56,10.6525,87.32
Indira Sagar,2014-10-16,0.0,0.23,1.3,0.56,10.5458,86.44
Indira Sagar,2014-10-17,0.0,0.13,1.87,0.56,10.3711,85.01
Indira Sagar,2014-10-18,0.0,0.47,1.2,0.56,10.2977,84.41
Indira Sagar,2014-10-19,0.0,0.41,1.61,0.56,10.1785,83.43
Indira Sagar,2014-10-20,0.0,0.33,1.14,0.56,10.0977,82.77
Indira Sagar,2014-10-21,0.0,0.18,1.21,0.56,9.9947,81.92
Indira Sagar,2014-10-22,0.0,0.14,1.59,0.56,9.849,80.73
Indira Sagar,2014-10-23,0.0,0.23,1.84,0.56,9.6877,79.41
Indira Sagar,2014-10-24,0.0,0.46,1.07,0.56,9.6269,78.91
Indira Sagar,2014-10-25,0.0,0.44,1.1,0.56,9.5607,78.37
Indira Sagar,2014-10-26,0.97,2.9,1.2,0.56,9.7307,79.76
Indira Sagar,2014-10-27,0.0,0.25,1.05,0.56,9.6506,79.1
Indira Sagar,2014-10-28,0.0,0.5,1.96,0.56,9.5043,77.9
Indira Sagar,2014-10-29,0.0,0.29,1.64,0.56,9.3691,76.8
Indira Sagar,2014-10-30,0.0,0.14,1.23,0.56,9.2602,75.9
Indira Sagar,2014-10-31,0.0,0.12,1.59,0.56,9.1127,74.69
Indira Sagar,2014-11-01,0.0,0.18,1.95,0.56,8.9357,73.24
Indira Sagar,2014-11-02,0.06,0.33,1.39,0.56,8.8297,72.37
Indira Sagar,2014-11-03,0.0,0.26,1.3,0.56,8.7252,71.52
Indira Sagar,2014-11-04,0.0,0.22,1.61,0.56,8.5863,70.38
Indira Sagar,2014-11-05,0.0,0.16,1.48,0.56,8.4537,69.29
Indira Sagar,2014-11-06,0.15,0.79,1.38,0.56,8.3945,68.81
Indira Sagar,2014-11-07,0.0,0.28,1.83,0.56,8.2387,67.53
Indira Sagar,2014-11-08,0.0,0.31,1.0,0.56,8.1691,66.96
Indira Sagar,2014-11-09,0.0,0.47,1.24,0.56,8.0919,66.33
Indira Sagar,2014-11-10,0.0,0.11,1.01,0.56,8.0025,65.59
Indira Sagar,2014-11-11,0.0,0.4,1.88,0.56,7.8552,64.39
Indira Sagar,2014-11-12,0.0,0.19,1.32,0.56,7.742,63.46
Indira Sagar,2014-11-13,0.55,2.01,1.56,0.56,7.7872,63.83
Indira Sagar,2014-11-14,0.0,0.13,1.01,0.56,7.6996,63.11
Indira Sagar,2014-11-15,0.0,0.23,1.02,0.56,7.6199,62.46
Indira Sagar,2014-11-16,3.62,10.46,1.76,0.56,8.4897,69.59
Indira Sagar,2014-11-17,0.0,0.22,1.08,0.56,8.404,68.89
Indira Sagar,2014-11-18,0.0,0.12,1.4,0.56,8.2765,67.84
Indira Sagar,2014-11-19,0.0,0.24,1.39,0.56,8.1616,66.9
Indira Sagar,2014-11-20,0.0,0.37,1.22,0.56,8.077,66.21
Indira Sagar,2014-11-21,0.0,0.12,1.72,0.56,7.9173,64.9
Indira Sagar,2014-11-22,0.0,0.35,1.6,0.56,7.7924,63.87
Indira Sagar,2014-11-23,0.0,0.3,1.33,0.56,7.6891,63.03
Indira Sagar,2014-11-24,0.0,0.33,1.16,0.56,7.6061,62.35
Indira Sagar,2014-11-25,0.0,0.46,1.45,0.56,7.5078,61.54
Indira Sagar,2014-11-26,0.0,0.42,1.71,0.56,7.3785,60.48
Indira Sagar,2014-11-27,0.0,0.42,1.31,0.56,7.289,59.75
Indira Sagar,2014-11-28,0.9,2.98,1.99,0.56,7.3882,60.56
Indira Sagar,2014-11-29,0.0,0.37,1.18,0.56,7.3073,59.9
Indira Sagar,2014-11-30,0.0,0.28,1.76,0.56,7.1593,58.68
Indira Sagar,2014-12-01,0.0,0.15,1.93,0.56,6.9809,57.22
Indira Sagar,2014-12-02,0.0,0.1,1.05,0.56,6.8866,56.45
Indira Sagar,2014-12-03,0.0,0.15,1.28,0.56,6.7734,55.52
Indira Sagar,2014-12-04,0.0,0.36,1.1,0.56,6.6987,54.91
Indira Sagar,2014-12-05,0.0,0.45,1.92,0.56,6.5516,53.7
Indira Sagar,2014-12-06,0.0,0.31,1.16,0.56,6.4664,53.0
Indira Sagar,2014-12-07,0.0,0.39,1.19,0.56,6.3859,52.34
Indira Sagar,2014-12-08,0.0,0.27,1.33,0.56,6.279,51.47
Indira Sagar,2014-12-09,0.0,0.43,1.49,0.56,6.1726,50.6
Indira Sagar,2014-12-10,0.0,0.11,1.84,0.56,6.0005,49.18
Indira Sagar,2014-12-11,0.0,0.27,1.84,0.56,5.8434,47.9
Indira Sagar,2014-12-12,1.17,3.47,1.72,0.56,6.0185,49.33
Indira Sagar,2014-12-13,0.0,0.35,1.04,0.56,5.9503,48.77
Indira Sagar,2014-12-14,0.0,0.45,1.23,0.56,5.8731,48.14
Indira Sagar,2014-12-15,0.0,0.11,1.82,0.56,5.7029,46.74
Indira Sagar,2014-12-16,0.0,0.45,1.15,0.56,5.6336,46.18
