Date,City,Area_Type,Water_Demand,Temperature,Rainfall,Population,Reservoir_Level,Water_Tariff,Weather,Season,Holiday
2022-02-07,Ujjain,Urban,934,17,2,700000,3225,6,Cloudy,Winter,0
2022-02-08,Gwalior,Urban,1280,10,0,1000000,3815,8,Sunny,Winter,0
2022-02-09,Bhopal,Urban,1979,21,1,1500000,6444,7,Cloudy,Winter,0
2022-02-10,Bhopal,Rural,1321,22,0,1500000,7276,8,Sunny,Winter,1
2022-02-11,Bhopal,Urban,2123,22,0,1500000,4184,9,Sunny,Winter,0
2022-02-12,Indore,Urban,2627,24,1,2000000,4895,7,Cloudy,Winter,0
2022-02-13,Indore,Urban,2526,19,1,2000000,6175,6,Cloudy,Winter,0
2022-02-14,Ujjain,Urban,981,19,2,700000,5455,6,Cloudy,Winter,0
2022-02-15,Bhopal,Urban,1863,13,0,1500000,7495,7,Sunny,Winter,0
2022-02-16,Gwalior,Urban,1341,16,2,1000000,7146,6,Cloudy,Winter,0
2022-02-17,Ujjain,Rural,648,19,1,700000,4715,7,Cloudy,Winter,0
2022-02-18,Jabalpur,Urban,1039,10,0,800000,6051,9,Sunny,Winter,0
2022-02-19,Gwalior,Rural,838,13,1,1000000,7364,7,Cloudy,Winter,0
2022-02-20,Jabalpur,Rural,799,24,2,800000,4369,6,Cloudy,Winter,0
2022-02-21,Bhopal,Urban,1923,10,1,1500000,3512,8,Cloudy,Winter,0
2022-02-22,Bhopal,Urban,1883,14,0,1500000,7070,9,Sunny,Winter,0
2022-02-23,Ujjain,Urban,1117,21,1,700000,6506,6,Cloudy,Winter,0
2022-02-24,Ujjain,Urban,965,14,2,700000,6059,6,Cloudy,Winter,0
2022-02-25,Indore,Rural,1687,14,2,2000000,4757,6,Cloudy,Winter,0
2022-02-26,Indore,Rural,1771,13,1,2000000,6730,7,Cloudy,Winter,0
2022-02-27,Ujjain,Urban,909,17,2,700000,7592,9,Cloudy,Winter,0
2022-02-28,Jabalpur,Rural,858,21,1,800000,5427,6,Cloudy,Winter,0
2022-03-01,Jabalpur,Rural,748,21,2,800000,6913,8,Cloudy,Winter,0
2022-03-02,Ujjain,Urban,1032,23,1,700000,5774,6,Cloudy,Winter,0
2022-03-03,Ujjain,Rural,761,19,1,700000,3114,6,Cloudy,Winter,0
2022-03-04,Indore,Urban,2684,22,2,2000000,3728,6,Cloudy,Winter,1
2022-03-05,Gwalior,Urban,1456,18,2,1000000,4122,9,Cloudy,Winter,0
2022-03-06,Bhopal,Rural,1401,17,2,1500000,7132,9,Cloudy,Winter,0
2022-03-07,Ujjain,Rural,585,12,0,700000,6952,7,Sunny,Winter,0
2022-03-08,Bhopal,Urban,2080,20,2,1500000,3395,6,Cloudy,Winter,1
2022-03-09,Gwalior,Urban,1461,21,1,1000000,7946,7,Cloudy,Winter,0
2022-03-10,Ujjain,Urban,1171,21,0,700000,5938,6,Sunny,Winter,0
2022-03-11,Bhopal,Urban,2035,14,1,1500000,5982,7,Cloudy,Winter,0
2022-03-12,Ujjain,Rural,686,22,2,700000,7846,9,Cloudy,Winter,0
2022-03-13,Indore,Urban,2552,22,1,2000000,4191,7,Cloudy,Winter,0
2022-03-14,Jabalpur,Rural,816,14,0,800000,5386,9,Sunny,Winter,0
2022-03-15,Bhopal,Rural,1226,10,2,1500000,7312,6,Cloudy,Winter,0
2022-03-16,Gwalior,Urban,1512,22,1,1000000,7186,7,Cloudy,Winter,1
2022-03-17,Jabalpur,Urban,1031,11,1,800000,3455,6,Cloudy,Winter,0
2022-03-18,Bhopal,Urban,2124,21,1,1500000,4531,6,Cloudy,Winter,0
2022-03-19,Bhopal,Urban,1905,15,1,1500000,7780,9,Cloudy,Winter,0
2022-03-20,Ujjain,Urban,1035,14,2,700000,4250,8,Cloudy,Winter,1
2022-03-21,Indore,Urban,2544,10,1,2000000,6486,6,Cloudy,Winter,0
2022-03-22,Jabalpur,Rural,671,18,2,800000,4353,9,Cloudy,Winter,0
2022-03-23,Gwalior,Urban,1341,14,1,1000000,7185,9,Cloudy,Winter,0
2022-03-24,Indore,Urban,2659,14,0,2000000,5508,9,Sunny,Winter,0
2022-03-25,Ujjain,Rural,705,22,1,700000,3255,6,Cloudy,Winter,0
2022-03-26,Indore,Urban,2666,23,1,2000000,4015,6,Cloudy,Winter,0
2022-03-27,Indore,Rural,1640,10,2,2000000,7158,6,Cloudy,Winter,1
2022-03-28,Jabalpur,Urban,1066,10,1,800000,3510,6,Cloudy,Winter,0
2022-03-29,Gwalior,Rural,993,24,0,1000000,4460,8,Sunny,Winter,0
2022-03-30,Ujjain,Rural,640,12,0,700000,5048,8,Sunny,Winter,0
2022-03-31,Gwalior,Urban,1293,10,1,1000000,4574,7,Cloudy,Winter,0
2022-04-01,Jabalpur,Urban,1429,43,0,800000,3235,6,Sunny,Summer,0
2022-04-02,Jabalpur,Urban,1328,38,4,800000,6981,7,Cloudy,Summer,0
2022-04-03,Gwalior,Rural,1033,33,1,1000000,4358,8,Cloudy,Summer,0
2022-04-04,Indore,Urban,2822,37,0,2000000,7637,8,Sunny,Summer,0
2022-04-05,Bhopal,Rural,1551,35,1,1500000,6472,7,Cloudy,Summer,0
2022-04-06,Gwalior,Urban,1617,33,4,1000000,7300,7,Cloudy,Summer,0
2022-04-07,Jabalpur,Urban,1421,40,2,800000,3899,9,Cloudy,Summer,0
2022-04-08,Bhopal,Rural,1440,34,2,1500000,3671,7,Cloudy,Summer,0
2022-04-09,Jabalpur,Urban,1365,36,1,800000,7777,6,Cloudy,Summer,0
2022-04-10,Bhopal,Urban,2243,43,1,1500000,5593,6,Cloudy,Summer,0
2022-04-11,Ujjain,Urban,1278,41,0,700000,5261,8,Sunny,Summer,0
2022-04-12,Jabalpur,Rural,917,44,0,800000,5055,6,Sunny,Summer,0
2022-04-13,Gwalior,Urban,1577,39,1,1000000,5125,9,Cloudy,Summer,0
2022-04-14,Indore,Urban,2738,39,2,2000000,4646,8,Cloudy,Summer,0
2022-04-15,Gwalior,Urban,1670,41,2,1000000,6086,9,Cloudy,Summer,0
2022-04-16,Ujjain,Urban,1212,38,0,700000,3125,9,Sunny,Summer,0
2022-04-17,Ujjain,Urban,1208,35,1,700000,3232,6,Cloudy,Summer,0
2022-04-18,Gwalior,Urban,1578,33,0,1000000,5472,6,Sunny,Summer,0
2022-04-19,Indore,Urban,2876,42,2,2000000,6812,6,Cloudy,Summer,0
2022-04-20,Ujjain,Urban,1235,38,3,700000,6517,7,Cloudy,Summer,0
2022-04-21,Bhopal,Urban,2071,34,4,1500000,3919,8,Cloudy,Summer,0
2022-04-22,Gwalior,Rural,1073,35,0,1000000,5551,7,Sunny,Summer,0
2022-04-23,Bhopal,Rural,1602,42,1,1500000,4141,9,Cloudy,Summer,0
2022-04-24,Bhopal,Rural,1533,43,0,1500000,7749,9,Sunny,Summer,0
2022-04-25,Jabalpur,Rural,870,44,2,800000,6744,7,Cloudy,Summer,0
2022-04-26,Indore,Urban,2867,41,3,2000000,5060,9,Cloudy,Summer,0
2022-04-27,Bhopal,Urban,2188,40,0,1500000,4994,8,Sunny,Summer,0
2022-04-28,Jabalpur,Urban,1233,32,4,800000,7027,9,Cloudy,Summer,0
2022-04-29,Ujjain,Rural,843,40,1,700000,4570,6,Cloudy,Summer,0
2022-04-30,Gwalior,Rural,1092,39,2,1000000,4252,7,Cloudy,Summer,0
2022-05-01,Jabalpur,Urban,1378,36,2,800000,3077,7,Cloudy,Summer,1
2022-05-02,Bhopal,Rural,1447,40,1,1500000,4863,8,Cloudy,Summer,0
2022-05-03,Jabalpur,Urban,1396,32,0,800000,5192,6,Sunny,Summer,0
2022-05-04,Indore,Urban,2770,39,2,2000000,4970,7,Cloudy,Summer,1
2022-05-05,Jabalpur,Urban,1240,35,4,800000,5035,7,Cloudy,Summer,0
2022-05-06,Gwalior,Rural,1174,40,0,1000000,3950,6,Sunny,Summer,0
2022-05-07,Indore,Rural,1920,42,1,2000000,5853,6,Cloudy,Summer,0
2022-05-08,Gwalior,Urban,1583,35,4,1000000,6228,8,Cloudy,Summer,0
2022-05-09,Ujjain,Rural,871,34,2,700000,3793,8,Cloudy,Summer,0
2022-05-10,Gwalior,Urban,1619,41,1,1000000,3362,9,Cloudy,Summer,1
2022-05-11,Indore,Urban,2884,39,3,2000000,6531,9,Cloudy,Summer,0
2022-05-12,Gwalior,Rural,1067,36,1,1000000,6449,6,Cloudy,Summer,0
2022-05-13,Ujjain,Urban,1334,40,2,700000,4792,7,Cloudy,Summer,0
2022-05-14,Indore,Rural,1796,37,0,2000000,4854,7,Sunny,Summer,0
2022-05-15,Ujjain,Urban,1351,36,0,700000,7212,7,Sunny,Summer,0
2022-05-16,Gwalior,Urban,1720,42,1,1000000,6281,8,Cloudy,Summer,0
2022-05-17,Bhopal,Urban,2328,42,3,1500000,4205,9,Cloudy,Summer,0
2022-05-18,Gwalior,Urban,1744,39,0,1000000,7380,8,Sunny,Summer,0
2022-05-19,Indore,Urban,2930,36,0,2000000,7944,9,Sunny,Summer,0
2022-05-20,Gwalior,Urban,1647,43,4,1000000,7422,6,Cloudy,Summer,0
2022-05-21,Jabalpur,Urban,1244,34,4,800000,7524,6,Cloudy,Summer,0
2022-05-22,Jabalpur,Urban,1443,34,1,800000,5161,7,Cloudy,Summer,0
2022-05-23,Gwalior,Urban,1623,44,2,1000000,7873,7,Cloudy,Summer,0
2022-05-24,Indore,Urban,2733,38,3,2000000,6462,6,Cloudy,Summer,0
2022-05-25,Bhopal,Urban,2203,39,2,1500000,6310,6,Cloudy,Summer,0
2022-05-26,Bhopal,Urban,2184,39,1,1500000,5143,9,Cloudy,Summer,0
2022-05-27,Jabalpur,Rural,953,35,4,800000,3822,9,Cloudy,Summer,0
2022-05-28,Indore,Urban,2830,38,4,2000000,6695,6,Cloudy,Summer,0
2022-05-29,Ujjain,Urban,1182,33,0,700000,6594,7,Sunny,Summer,0
2022-05-30,Jabalpur,Urban,1326,43,3,800000,3804,7,Cloudy,Summer,0
2022-05-31,Bhopal,Urban,2265,43,2,1500000,4387,9,Cloudy,Summer,0
2022-06-01,Jabalpur,Rural,898,32,1,800000,6280,7,Cloudy,Summer,0
2022-06-02,Indore,Urban,2777,38,0,2000000,5541,9,Sunny,Summer,0
2022-06-03,Ujjain,Urban,1198,38,4,700000,5175,6,Cloudy,Summer,0
2022-06-04,Bhopal,Urban,2164,32,4,1500000,7683,8,Cloudy,Summer,0
2022-06-05,Ujjain,Urban,1315,37,2,700000,3609,9,Cloudy,Summer,0
2022-06-06,Ujjain,Urban,1421,44,0,700000,6028,9,Sunny,Summer,0
2022-06-07,Indore,Urban,2854,42,0,2000000,7788,9,Sunny,Summer,0
2022-06-08,Ujjain,Urban,1335,39,2,700000,4136,8,Cloudy,Summer,0
2022-06-09,Jabalpur,Rural,851,38,4,800000,4785,9,Cloudy,Summer,0
2022-06-10,Jabalpur,Urban,1553,42,0,800000,7460,8,Sunny,Summer,0
2022-06-11,Indore,Urban,2819,40,0,2000000,4240,6,Sunny,Summer,0
2022-06-12,Indore,Urban,2779,34,2,2000000,3171,8,Cloudy,Summer,0
2022-06-13,Indore,Urban,2864,36,3,2000000,7090,6,Cloudy,Summer,0
2022-06-14,Indore,Urban,2691,32,3,2000000,6663,9,Cloudy,Summer,0
2022-06-15,Ujjain,Rural,836,36,0,700000,6726,8,Sunny,Summer,1
2022-06-16,Ujjain,Urban,1382,41,0,700000,6157,7,Sunny,Summer,0
2022-06-17,Ujjain,Rural,778,34,1,700000,7822,6,Cloudy,Summer,0
2022-06-18,Gwalior,Rural,1042,33,2,1000000,4182,9,Cloudy,Summer,0
2022-06-19,Gwalior,Urban,1606,34,4,1000000,5983,7,Cloudy,Summer,0
2022-06-20,Gwalior,Urban,1571,39,0,1000000,3920,6,Sunny,Summer,0
2022-06-21,Ujjain,Urban,1269,33,2,700000,3545,7,Cloudy,Summer,0
2022-06-22,Ujjain,Urban,1150,34,2,700000,3813,9,Cloudy,Summer,0
2022-06-23,Bhopal,Urban,2262,36,3,1500000,3271,9,Cloudy,Summer,0
2022-06-24,Bhopal,Rural,1516,40,3,1500000,5624,7,Cloudy,Summer,0
2022-06-25,Ujjain,Urban,1227,33,3,700000,7388,6,Cloudy,Summer,0
2022-06-26,Ujjain,Rural,900,40,0,700000,3963,9,Sunny,Summer,1
2022-06-27,Ujjain,Rural,957,42,3,700000,3806,9,Cloudy,Summer,0
2022-06-28,Jabalpur,Rural,1002,33,0,800000,7867,8,Sunny,Summer,0
2022-06-29,Ujjain,Urban,1245,36,2,700000,6401,8,Cloudy,Summer,0
2022-06-30,Indore,Urban,2875,41,2,2000000,6845,6,Cloudy,Summer,0
2022-07-01,Bhopal,Urban,1706,27,21,1500000,4914,7,Rainy,Monsoon,0
2022-07-02,Indore,Urban,2705,31,7,2000000,7069,6,Cloudy,Monsoon,0
2022-07-03,Bhopal,Urban,1983,29,9,1500000,4290,6,Cloudy,Monsoon,0
2022-07-04,Jabalpur,Urban,1174,24,7,800000,4355,7,Cloudy,Monsoon,0
2022-07-05,Bhopal,Urban,2027,26,6,1500000,3974,7,Cloudy,Monsoon,0
2022-07-06,Ujjain,Urban,896,25,10,700000,6387,9,Cloudy,Monsoon,0
2022-07-07,Ujjain,Rural,560,25,12,700000,3317,6,Rainy,Monsoon,1
2022-07-08,Jabalpur,Urban,1034,25,12,800000,4996,6,Rainy,Monsoon,0
2022-07-09,Jabalpur,Rural,754,27,5,800000,4704,6,Cloudy,Monsoon,0
2022-07-10,Bhopal,Rural,1383,27,10,1500000,3556,7,Cloudy,Monsoon,0
2022-07-11,Indore,Urban,2572,26,11,2000000,5129,9,Rainy,Monsoon,0
2022-07-12,Ujjain,Urban,1004,30,6,700000,6117,8,Cloudy,Monsoon,1
2022-07-13,Bhopal,Urban,1856,25,17,1500000,4007,7,Rainy,Monsoon,0
2022-07-14,Indore,Urban,2294,25,19,2000000,3277,9,Rainy,Monsoon,0
2022-07-15,Gwalior,Urban,1045,26,21,1000000,3917,6,Rainy,Monsoon,0
2022-07-16,Bhopal,Urban,1725,31,22,1500000,7799,8,Rainy,Monsoon,1
2022-07-17,Gwalior,Urban,1142,27,16,1000000,3028,8,Rainy,Monsoon,0
2022-07-18,Jabalpur,Urban,1285,30,6,800000,7833,6,Cloudy,Monsoon,1
2022-07-19,Jabalpur,Urban,996,30,19,800000,5844,6,Rainy,Monsoon,0
2022-07-20,Indore,Rural,1562,27,15,2000000,6778,6,Rainy,Monsoon,1
2022-07-21,Gwalior,Rural,800,30,20,1000000,7026,9,Rainy,Monsoon,0
2022-07-22,Bhopal,Urban,1979,26,5,1500000,6963,7,Cloudy,Monsoon,0
2022-07-23,Ujjain,Urban,757,24,16,700000,5255,8,Rainy,Monsoon,1
2022-07-24,Bhopal,Rural,1258,28,12,1500000,4050,7,Rainy,Monsoon,0
2022-07-25,Jabalpur,Rural,819,27,7,800000,3526,6,Cloudy,Monsoon,0
2022-07-26,Bhopal,Urban,1888,27,8,1500000,4016,9,Cloudy,Monsoon,0
2022-07-27,Ujjain,Urban,1034,31,12,700000,6788,6,Rainy,Monsoon,0
2022-07-28,Indore,Urban,2370,25,18,2000000,3165,9,Rainy,Monsoon,0
2022-07-29,Bhopal,Rural,1311,29,13,1500000,3778,7,Rainy,Monsoon,0
2022-07-30,Bhopal,Urban,1823,24,18,1500000,3591,7,Rainy,Monsoon,0
2022-07-31,Gwalior,Urban,1172,31,22,1000000,3001,6,Rainy,Monsoon,0
2022-08-01,Ujjain,Urban,797,28,24,700000,3917,8,Rainy,Monsoon,0
2022-08-02,Indore,Urban,2363,25,19,2000000,3886,9,Rainy,Monsoon,0
2022-08-03,Jabalpur,Urban,1000,26,10,800000,6144,8,Cloudy,Monsoon,0
2022-08-04,Bhopal,Rural,1381,31,12,1500000,6389,9,Rainy,Monsoon,0
2022-08-05,Jabalpur,Urban,871,26,24,800000,6461,7,Rainy,Monsoon,0
2022-08-06,Jabalpur,Urban,945,27,14,800000,5134,9,Rainy,Monsoon,0
2022-08-07,Ujjain,Urban,827,26,18,700000,7780,9,Rainy,Monsoon,0
2022-08-08,Ujjain,Urban,845,26,16,700000,4989,7,Rainy,Monsoon,0
2022-08-09,Ujjain,Rural,723,24,7,700000,3754,8,Cloudy,Monsoon,0
2022-08-10,Bhopal,Rural,1040,24,24,1500000,7611,9,Rainy,Monsoon,0
2022-08-11,Gwalior,Urban,1200,25,21,1000000,7703,6,Rainy,Monsoon,0
2022-08-12,Ujjain,Urban,1034,27,6,700000,4441,9,Cloudy,Monsoon,0
2022-08-13,Indore,Rural,1638,25,16,2000000,3529,9,Rainy,Monsoon,0
2022-08-14,Bhopal,Urban,2014,31,8,1500000,6369,9,Cloudy,Monsoon,0
2022-08-15,Indore,Urban,2496,28,10,2000000,5365,7,Cloudy,Monsoon,0
2022-08-16,Bhopal,Urban,2024,30,10,1500000,5938,6,Cloudy,Monsoon,1
2022-08-17,Indore,Rural,1831,28,5,2000000,7555,9,Cloudy,Monsoon,0
2022-08-18,Jabalpur,Rural,635,29,18,800000,4993,6,Rainy,Monsoon,0
2022-08-19,Bhopal,Urban,1978,27,12,1500000,5360,9,Rainy,Monsoon,0
2022-08-20,Gwalior,Urban,1258,28,19,1000000,5352,6,Rainy,Monsoon,0
2022-08-21,Gwalior,Rural,928,29,16,1000000,4939,7,Rainy,Monsoon,1
2022-08-22,Bhopal,Urban,2052,27,5,1500000,4058,7,Cloudy,Monsoon,0
2022-08-23,Jabalpur,Urban,745,24,23,800000,7585,9,Rainy,Monsoon,1
2022-08-24,Jabalpur,Urban,792,25,22,800000,4208,8,Rainy,Monsoon,0
2022-08-25,Jabalpur,Urban,1087,27,10,800000,7403,9,Cloudy,Monsoon,1
2022-08-26,Gwalior,Urban,1317,25,5,1000000,7612,8,Cloudy,Monsoon,0
2022-08-27,Indore,Urban,2547,30,15,2000000,7049,6,Rainy,Monsoon,0
2022-08-28,Bhopal,Urban,1943,31,18,1500000,6072,8,Rainy,Monsoon,1
2022-08-29,Ujjain,Urban,1111,24,6,700000,3574,6,Cloudy,Monsoon,0
2022-08-30,Bhopal,Rural,1246,24,17,1500000,3488,8,Rainy,Monsoon,0
2022-08-31,Ujjain,Rural,574,27,10,700000,6553,7,Cloudy,Monsoon,0
2022-09-01,Jabalpur,Rural,688,24,11,800000,5772,8,Rainy,Monsoon,0
2022-09-02,Indore,Urban,2281,28,23,2000000,4440,6,Rainy,Monsoon,0
2022-09-03,Jabalpur,Urban,988,25,15,800000,6015,7,Rainy,Monsoon,0
2022-09-04,Indore,Urban,2443,26,12,2000000,5501,9,Rainy,Monsoon,0
2022-09-05,Indore,Urban,2575,28,6,2000000,6364,8,Cloudy,Monsoon,0
2022-09-06,Jabalpur,Rural,663,29,18,800000,7986,8,Rainy,Monsoon,0
2022-09-07,Jabalpur,Urban,902,30,19,800000,3714,8,Rainy,Monsoon,0
2022-09-08,Ujjain,Urban,1021,26,6,700000,3963,9,Cloudy,Monsoon,0
2022-09-09,Jabalpur,Rural,807,27,7,800000,3105,9,Cloudy,Monsoon,0
2022-09-10,Indore,Urban,2360,27,15,2000000,6179,7,Rainy,Monsoon,0
2022-09-11,Bhopal,Urban,1939,25,8,1500000,4475,7,Cloudy,Monsoon,0
2022-09-12,Bhopal,Urban,1830,28,14,1500000,5938,6,Rainy,Monsoon,0
2022-09-13,Ujjain,Rural,510,24,13,700000,3009,9,Rainy,Monsoon,0
2022-09-14,Ujjain,Rural,516,31,20,700000,6225,8,Rainy,Monsoon,0
2022-09-15,Indore,Rural,1672,27,11,2000000,3145,8,Rainy,Monsoon,0
2022-09-16,Bhopal,Urban,1742,28,19,1500000,3482,9,Rainy,Monsoon,0
2022-09-17,Ujjain,Urban,1092,31,9,700000,5466,9,Cloudy,Monsoon,0
2022-09-18,Jabalpur,Urban,1086,29,17,800000,3769,9,Rainy,Monsoon,0
2022-09-19,Ujjain,Urban,1010,25,11,700000,6351,9,Rainy,Monsoon,0
2022-09-20,Gwalior,Rural,876,25,11,1000000,7131,9,Rainy,Monsoon,0
2022-09-21,Gwalior,Urban,1504,31,5,1000000,5472,8,Cloudy,Monsoon,0
2022-09-22,Bhopal,Rural,1379,27,9,1500000,6610,9,Cloudy,Monsoon,0
2022-09-23,Indore,Urban,2583,27,7,2000000,5774,9,Cloudy,Monsoon,0
2022-09-24,Bhopal,Rural,1059,30,24,1500000,3661,9,Rainy,Monsoon,0
2022-09-25,Ujjain,Urban,812,30,19,700000,3207,7,Rainy,Monsoon,0
2022-09-26,Bhopal,Rural,1207,27,21,1500000,4931,9,Rainy,Monsoon,0
2022-09-27,Ujjain,Urban,953,26,12,700000,4540,9,Rainy,Monsoon,1
2022-09-28,Gwalior,Urban,1213,29,24,1000000,7551,8,Rainy,Monsoon,0
2022-09-29,Ujjain,Rural,545,29,24,700000,7576,8,Rainy,Monsoon,0
2022-09-30,Indore,Urban,2558,25,13,2000000,7930,9,Rainy,Monsoon,0
2022-10-01,Indore,Urban,2636,16,1,2000000,3405,8,Cloudy,Winter,0
2022-10-02,Gwalior,Rural,876,19,2,1000000,7137,7,Cloudy,Winter,0
2022-10-03,Jabalpur,Urban,1203,19,1,800000,6138,9,Cloudy,Winter,0
2022-10-04,Bhopal,Urban,1916,12,1,1500000,7225,8,Cloudy,Winter,0
2022-10-05,Gwalior,Urban,1521,19,0,1000000,3792,6,Sunny,Winter,0
2022-10-06,Gwalior,Urban,1281,10,1,1000000,7917,7,Cloudy,Winter,0
2022-10-07,Jabalpur,Rural,800,15,0,800000,5529,9,Sunny,Winter,0
2022-10-08,Gwalior,Urban,1443,13,0,1000000,7223,9,Sunny,Winter,0
2022-10-09,Gwalior,Urban,1449,21,2,1000000,5719,6,Cloudy,Winter,0
2022-10-10,Indore,Urban,2412,12,2,2000000,4953,7,Cloudy,Winter,0
2022-10-11,Jabalpur,Rural,790,24,2,800000,6976,8,Cloudy,Winter,0
2022-10-12,Gwalior,Urban,1287,12,2,1000000,3399,9,Cloudy,Winter,0
2022-10-13,Gwalior,Rural,882,10,0,1000000,4403,9,Sunny,Winter,0
2022-10-14,Gwalior,Urban,1336,16,1,1000000,4508,9,Cloudy,Winter,0
2022-10-15,Ujjain,Urban,975,20,1,700000,4764,6,Cloudy,Winter,0
2022-10-16,Indore,Urban,2528,14,1,2000000,5708,7,Cloudy,Winter,0
2022-10-17,Ujjain,Urban,1070,14,1,700000,5385,6,Cloudy,Winter,1
2022-10-18,Gwalior,Urban,1374,10,2,1000000,5355,9,Cloudy,Winter,0
2022-10-19,Indore,Urban,2593,11,1,2000000,6493,7,Cloudy,Winter,0
2022-10-20,Ujjain,Urban,1028,10,0,700000,3571,9,Sunny,Winter,0
2022-10-21,Indore,Rural,1695,21,0,2000000,3714,8,Sunny,Winter,0
2022-10-22,Jabalpur,Urban,1088,10,2,800000,6926,9,Cloudy,Winter,0
2022-10-23,Ujjain,Rural,616,10,2,700000,4031,6,Cloudy,Winter,0
2022-10-24,Jabalpur,Urban,1119,12,2,800000,6088,6,Cloudy,Winter,0
2022-10-25,Indore,Urban,2599,13,2,2000000,7494,8,Cloudy,Winter,0
2022-10-26,Gwalior,Urban,1332,19,0,1000000,5037,9,Sunny,Winter,0
2022-10-27,Indore,Urban,2687,21,0,2000000,6839,9,Sunny,Winter,0
2022-10-28,Indore,Urban,2479,12,0,2000000,4613,6,Sunny,Winter,0
2022-10-29,Indore,Urban,2579,24,1,2000000,5196,9,Cloudy,Winter,0
2022-10-30,Indore,Urban,2575,14,2,2000000,4311,9,Cloudy,Winter,0
2022-10-31,Jabalpur,Urban,1144,10,1,800000,7040,6,Cloudy,Winter,0
2022-11-01,Gwalior,Urban,1371,11,1,1000000,6243,9,Cloudy,Winter,0
2022-11-02,Bhopal,Urban,1857,12,1,1500000,3038,6,Cloudy,Winter,0
2022-11-03,Indore,Urban,2701,23,0,2000000,3301,9,Sunny,Winter,0
2022-11-04,Gwalior,Urban,1350,15,1,1000000,5581,9,Cloudy,Winter,0
2022-11-05,Indore,Urban,2611,14,2,2000000,3282,7,Cloudy,Winter,0
2022-11-06,Jabalpur,Urban,1133,21,0,800000,6754,6,Sunny,Winter,0
2022-11-07,Jabalpur,Urban,1124,12,2,800000,4304,9,Cloudy,Winter,0
2022-11-08,Indore,Urban,2611,17,0,2000000,4284,8,Sunny,Winter,1
