jan-feb,feb,reservoirlevel,jan,nov,jul,apr,year,district,sep,state_ut_name,capacity,jun-sep,oct-dec,oct,may,outflow,mar-may,population,dec,inflow,aug,annual,jun,mar,Water_Demand
42.6,20.4,470.0,22.2,13.0,372.7,25.5,2015.5,GUMLA,252.1,JHARKHAND,725.0,1197.0,90.0,68.3,47.1,97.5,91.7,2371061.0,8.7,120.0,343.2,1421.3,229.0,19.1,474130.32212470757
35.0,20.9,470.0,14.1,13.1,298.2,18.3,2015.5,LOHARDAGA,230.5,JHARKHAND,725.0,1005.0,79.2,57.7,38.9,97.5,77.9,2371061.0,8.4,120.0,289.8,1197.1,186.5,20.7,474148.23668879666
37.9,18.5,470.0,19.4,5.2,336.5,5.8,2015.5,CHATRA,234.1,JHARKHAND,725.0,1031.3,67.9,55.7,17.8,97.5,34.8,2371061.0,7.0,120.0,303.0,1171.9,157.7,11.2,474164.02747332596
33.1,12.1,470.0,21.0,8.2,270.9,10.0,2015.5,KODERMA,218.0,JHARKHAND,725.0,929.6,102.0,86.5,28.5,97.5,51.5,2371061.0,7.3,120.0,268.0,1116.2,172.7,13.0,474157.3747592448
25.6,9.6,470.0,16.0,2.6,288.1,6.8,2015.5,GARHWA,226.0,JHARKHAND,725.0,927.8,60.5,52.6,10.5,97.5,27.9,2371061.0,5.3,120.0,292.8,1041.8,120.9,10.6,474159.7719629867
35.2,18.6,470.0,16.6,7.8,340.7,9.0,2015.5,LATEHAR,224.0,JHARKHAND,725.0,1021.8,82.4,66.6,22.7,97.5,52.1,2371061.0,8.0,120.0,288.5,1191.5,168.6,20.4,474173.5814876892
38.0,18.9,470.0,19.1,12.6,459.4,23.9,2015.5,SIMDEGA,281.2,JHARKHAND,725.0,1383.1,77.6,58.8,35.0,97.5,74.4,2371061.0,6.2,120.0,404.7,1573.1,237.8,15.5,474118.50723699515
27.5,15.0,470.0,12.5,9.2,323.8,20.7,2015.5,RAMGARH,235.5,JHARKHAND,725.0,1053.8,85.7,68.8,47.3,97.5,81.3,2371061.0,7.7,120.0,287.4,1248.3,207.1,13.3,474153.9202820469
22.4,9.7,470.0,12.7,4.4,354.5,13.2,2015.5,EAST CHAMPARAN,206.2,BIHAR,725.0,1021.6,83.6,73.2,49.1,97.5,70.1,2371061.0,6.0,120.0,297.4,1197.7,163.5,7.8,474144.05751813785
25.5,10.9,470.0,14.6,7.5,298.1,6.1,2015.5,GAYA,180.5,BIHAR,725.0,878.7,66.9,53.7,18.0,97.5,32.8,2371061.0,5.7,120.0,271.9,1003.9,128.2,8.7,474172.24117275473
19.9,7.0,470.0,12.9,6.5,305.7,14.3,2015.5,MUNGER,231.7,BIHAR,725.0,974.0,83.7,71.4,44.9,97.5,69.2,2371061.0,5.8,120.0,271.1,1146.8,165.5,10.0,474164.50422589714
22.3,8.9,470.0,13.4,7.8,326.1,13.3,2015.5,MUZAFFARPUR,202.3,BIHAR,725.0,981.1,76.5,63.9,54.0,97.5,74.6,2371061.0,4.8,120.0,291.7,1154.5,161.0,7.3,474151.1150642258
29.4,10.8,470.0,18.6,5.1,447.0,18.3,2015.5,WEST CHAMPARAN,249.4,BIHAR,725.0,1275.0,80.2,65.9,56.3,97.5,87.4,2371061.0,9.2,120.0,349.3,1472.0,229.3,12.8,474134.6319801835
25.4,10.5,470.0,14.9,6.0,309.8,12.5,2015.5,GOPALGANJ,220.4,BIHAR,725.0,989.9,69.1,55.9,31.6,97.5,51.1,2371061.0,7.2,120.0,304.3,1135.5,155.4,7.0,474158.5186131008
29.3,11.2,470.0,18.1,7.8,290.0,5.7,2015.5,AURANGABAD,193.6,BIHAR,725.0,859.6,58.1,44.3,14.4,97.5,27.9,2371061.0,6.0,120.0,253.9,974.9,122.1,7.8,474177.6680625021
16.5,8.4,470.0,8.1,4.8,296.8,17.3,2015.5,BEGUSARAI,215.2,BIHAR,725.0,921.6,73.2,63.0,48.9,97.5,79.4,2371061.0,5.4,120.0,255.3,1090.7,154.3,13.2,474162.98793387774
25.9,13.4,470.0,12.5,8.6,334.6,10.3,2015.5,BHOJPUR,203.5,BIHAR,725.0,924.4,59.1,45.1,24.9,97.5,42.1,2371061.0,5.4,120.0,277.6,1051.5,108.7,6.9,474191.44778184505
20.8,9.0,470.0,11.8,5.1,283.6,6.1,2015.5,NALANDA,202.3,BIHAR,725.0,876.8,61.5,50.7,27.9,97.5,43.1,2371061.0,5.7,120.0,263.3,1002.2,127.6,9.1,474177.7200277527
22.4,9.4,470.0,13.0,7.3,333.7,8.1,2015.5,PATNA,217.7,BIHAR,725.0,941.3,67.0,55.5,26.4,97.5,44.1,2371061.0,4.2,120.0,264.5,1074.8,125.4,9.6,474160.0178907105
13.7,4.2,470.0,9.5,7.0,311.0,15.4,2015.5,KHAGARIA,265.0,BIHAR,725.0,1057.7,93.1,82.2,46.3,97.5,69.4,2371061.0,3.9,120.0,297.7,1233.9,184.0,7.7,474162.91044912103
25.7,9.4,470.0,16.3,6.5,334.1,9.3,2015.5,SARAN,214.4,BIHAR,725.0,973.5,71.2,59.2,35.6,97.5,53.4,2371061.0,5.5,120.0,291.8,1123.8,133.2,8.5,474153.4865635003
22.5,9.5,470.0,13.0,6.2,301.8,5.6,2015.5,NAWADA,183.6,BIHAR,725.0,896.6,73.4,62.4,34.1,97.5,49.3,2371061.0,4.8,120.0,276.0,1041.8,135.2,9.6,474175.9836359501
25.8,12.8,470.0,13.0,12.1,275.2,5.9,2015.5,ROHTAS,190.9,BIHAR,725.0,834.5,59.9,43.0,13.9,97.5,28.9,2371061.0,4.8,120.0,278.4,949.1,90.0,9.1,474163.56829876127
23.2,8.2,470.0,15.0,6.9,315.1,15.2,2015.5,SAMASTIPUR,244.4,BIHAR,725.0,1025.2,75.1,64.4,42.7,97.5,68.8,2371061.0,3.8,120.0,289.1,1192.3,176.6,10.9,474145.56313951104
27.7,12.6,470.0,15.1,8.2,339.1,9.6,2015.5,SIWAN,240.0,BIHAR,725.0,1004.2,56.7,43.3,27.5,97.5,46.8,2371061.0,5.2,120.0,287.7,1135.4,137.4,9.7,474166.5036123587
23.7,8.4,470.0,15.3,5.4,375.0,14.6,2015.5,VAISHALI,223.7,BIHAR,725.0,1021.6,82.6,73.3,26.8,97.5,48.6,2371061.0,3.9,120.0,285.3,1176.5,137.6,7.2,474167.80966579996
20.4,7.6,470.0,12.8,7.7,255.6,13.1,2015.5,JAHANABAD,196.5,BIHAR,725.0,820.4,52.6,39.1,23.1,97.5,43.2,2371061.0,5.8,120.0,255.8,936.6,112.5,7.0,474186.1286828119
20.8,6.7,470.0,14.1,6.8,287.1,3.7,2015.5,BUXAR,200.2,BIHAR,725.0,861.2,65.3,53.7,17.6,97.5,28.1,2371061.0,4.8,120.0,263.0,975.4,110.9,6.8,474179.37851717614
19.4,9.3,470.0,10.1,5.7,271.1,15.7,2015.5,BANKA,214.9,BIHAR,725.0,865.9,95.9,84.6,45.9,97.5,73.3,2371061.0,5.6,120.0,241.7,1054.5,138.2,11.7,474169.61396304413
42.8,16.4,470.0,26.4,5.5,311.7,5.5,2015.5,BHABUA,253.0,BIHAR,725.0,995.1,54.3,42.4,18.6,97.5,34.1,2371061.0,6.4,120.0,299.4,1126.3,131.0,10.0,474150.6597800963
18.3,8.2,470.0,10.1,9.0,311.9,9.4,2015.5,JAMUI,223.2,BIHAR,725.0,951.8,83.7,70.9,35.1,97.5,53.5,2371061.0,3.8,120.0,253.3,1107.3,163.4,9.0,474160.1465579161
21.9,8.2,470.0,13.7,6.3,291.6,9.7,2015.5,SHEIKHPURA,189.6,BIHAR,725.0,865.7,69.4,58.1,33.5,97.5,51.4,2371061.0,5.0,120.0,240.3,1008.4,144.2,8.2,474172.62861229037
19.9,7.0,470.0,12.9,6.5,305.7,14.3,2015.5,LAKHISARAI,231.7,BIHAR,725.0,974.0,83.7,71.4,44.9,97.5,69.2,2371061.0,5.8,120.0,271.1,1146.8,165.5,10.0,474173.9662222622
22.7,6.8,470.0,15.9,5.2,245.4,3.2,2015.5,ARWAL,181.9,BIHAR,725.0,789.7,42.4,33.3,11.2,97.5,19.6,2371061.0,3.9,120.0,249.6,874.4,112.8,5.2,474194.0711828957
27.5,10.0,470.0,17.5,9.4,265.5,3.6,2015.5,ALLAHABAD,182.3,UTTAR PRADESH,725.0,808.7,48.6,34.6,6.6,97.5,17.8,2371061.0,4.6,120.0,278.8,902.6,82.1,7.6,474170.18459844636
22.8,10.2,470.0,12.6,6.9,334.3,6.1,2015.5,AZAMGARH,231.6,UTTAR PRADESH,725.0,952.7,52.4,41.5,15.5,97.5,30.4,2371061.0,4.0,120.0,291.4,1058.3,95.4,8.8,474175.4858396939
36.8,16.0,470.0,20.8,2.5,336.8,9.0,2015.5,BAHRAICH,205.4,UTTAR PRADESH,725.0,993.8,63.6,51.2,32.9,97.5,54.4,2371061.0,9.9,120.0,297.2,1148.6,154.4,12.5,474159.3641771959
19.2,8.5,470.0,10.7,5.4,292.6,5.3,2015.5,BALLIA,163.6,UTTAR PRADESH,725.0,827.2,49.6,41.6,20.2,97.5,32.2,2371061.0,2.6,120.0,260.1,928.2,110.9,6.7,474178.48577999696
29.2,11.6,470.0,17.6,5.5,261.0,4.5,2015.5,BANDA,170.9,UTTAR PRADESH,725.0,840.4,50.7,36.4,12.1,97.5,22.9,2371061.0,8.8,120.0,316.4,943.2,92.1,6.3,474189.8717628884
31.3,14.4,470.0,16.9,2.9,309.7,5.8,2015.5,BARABANKI,224.3,UTTAR PRADESH,725.0,930.5,61.9,50.3,17.8,97.5,31.7,2371061.0,8.7,120.0,284.4,1055.4,112.1,8.1,474182.84499522496
25.8,10.4,470.0,15.4,2.2,324.5,5.5,2015.5,BASTI,200.4,UTTAR PRADESH,725.0,943.6,56.2,46.5,20.7,97.5,37.1,2371061.0,7.5,120.0,289.3,1062.7,129.4,10.9,474181.11780119117
31.5,17.8,470.0,13.7,4.0,316.6,8.7,2015.5,DEORIA,201.1,UTTAR PRADESH,725.0,950.9,62.7,53.1,24.0,97.5,41.9,2371061.0,5.6,120.0,299.9,1087.0,133.3,9.2,474160.98282476777
31.1,12.4,470.0,18.7,2.9,346.6,4.5,2015.5,FAIZABAD,210.5,UTTAR PRADESH,725.0,989.7,62.7,51.0,18.8,97.5,30.5,2371061.0,8.8,120.0,309.6,1114.0,123.0,7.2,474163.5828762415
26.2,11.1,470.0,15.1,2.4,246.0,5.0,2015.5,FARRUKHABAD,141.6,UTTAR PRADESH,725.0,743.4,57.9,52.1,12.8,97.5,25.8,2371061.0,3.4,120.0,282.3,853.3,73.5,8.0,474196.05763431406
30.0,11.7,470.0,18.3,4.9,261.5,4.7,2015.5,FATEHPUR,182.8,UTTAR PRADESH,725.0,812.5,52.2,39.4,8.6,97.5,20.5,2371061.0,7.9,120.0,286.0,915.2,82.2,7.2,474196.31045127125
25.1,9.4,470.0,15.7,9.6,266.7,4.7,2015.5,GHAZIPUR,211.8,UTTAR PRADESH,725.0,883.0,61.1,49.2,13.9,97.5,26.6,2371061.0,2.3,120.0,305.7,995.8,98.8,8.0,474173.70325762156
26.3,9.4,470.0,16.9,1.6,335.4,6.3,2015.5,GONDA,230.2,UTTAR PRADESH,725.0,1027.2,69.7,59.1,22.3,97.5,36.9,2371061.0,9.0,120.0,316.6,1160.1,145.0,8.3,474160.2084102334
29.8,10.9,470.0,18.9,6.4,372.4,11.5,2015.5,GORAKHPUR,252.0,UTTAR PRADESH,725.0,1175.5,83.4,69.1,27.2,97.5,49.6,2371061.0,7.9,120.0,384.2,1338.3,166.9,10.9,474133.18165025994
31.3,13.1,470.0,18.2,2.7,264.5,5.8,2015.5,HARDOI,167.6,UTTAR PRADESH,725.0,787.9,66.8,57.6,16.9,97.5,32.2,2371061.0,6.5,120.0,268.5,918.2,87.3,9.5,474174.2929337592
25.6,10.4,470.0,15.2,7.4,304.7,4.6,2015.5,JAUNPUR,222.4,UTTAR PRADESH,725.0,874.1,45.1,32.1,11.8,97.5,23.3,2371061.0,5.6,120.0,255.8,968.1,91.2,6.9,474189.390258224
28.7,11.9,470.0,16.8,2.5,226.4,2.6,2015.5,KANPUR NAGAR,144.3,UTTAR PRADESH,725.0,696.8,64.6,54.9,7.7,97.5,16.3,2371061.0,7.2,120.0,263.9,806.4,62.2,6.0,474210.99740028573
37.6,16.2,470.0,21.4,2.0,297.2,6.5,2015.5,KHERI LAKHIMP,194.2,UTTAR PRADESH,725.0,926.1,74.2,63.8,29.1,97.5,47.4,2371061.0,8.4,120.0,303.3,1085.3,131.4,11.8,474168.82489878417
30.4,12.3,470.0,18.1,4.1,254.6,4.1,2015.5,LUCKNOW,169.8,UTTAR PRADESH,725.0,772.5,58.8,47.9,12.2,97.5,23.6,2371061.0,6.8,120.0,262.2,885.3,85.9,7.3,474199.5803289789
30.6,12.6,470.0,18.0,9.6,288.3,3.8,2015.5,MIRZAPUR,231.4,UTTAR PRADESH,725.0,901.1,47.4,32.9,10.3,97.5,24.1,2371061.0,4.9,120.0,290.4,1003.2,91.0,10.0,474181.37136025046
25.1,9.9,470.0,15.2,6.8,288.7,2.0,2015.5,PRATAPGARH,197.1,UTTAR PRADESH,725.0,851.8,47.6,34.3,9.0,97.5,19.1,2371061.0,6.5,120.0,284.1,943.6,81.9,8.1,474177.263802454
23.3,9.3,470.0,14.0,1.5,257.7,3.0,2015.5,RAE BARELI,168.0,UTTAR PRADESH,725.0,750.3,63.0,53.5,7.6,97.5,16.4,2371061.0,8.0,120.0,255.9,853.0,68.7,5.8,474196.3889560551
30.6,12.1,470.0,18.5,3.7,272.6,5.4,2015.5,SITAPUR,200.6,UTTAR PRADESH,725.0,864.8,72.3,60.1,18.4,97.5,35.6,2371061.0,8.5,120.0,278.0,1003.3,113.6,11.8,474193.12536566466
21.9,8.7,470.0,13.2,2.4,303.2,4.7,2015.5,SULTANPUR,181.8,UTTAR PRADESH,725.0,840.7,54.0,45.4,16.9,97.5,27.9,2371061.0,6.2,120.0,273.2,944.5,82.5,6.3,474183.2667396089
30.0,15.1,470.0,14.9,2.2,249.3,3.4,2015.5,UNNAO,171.7,UTTAR PRADESH,725.0,790.3,65.6,56.1,10.5,97.5,21.3,2371061.0,7.3,120.0,286.4,907.2,82.9,7.4,474203.0014365582
32.9,14.5,470.0,18.4,12.2,311.6,4.7,2015.5,VARANASI,236.6,UTTAR PRADESH,725.0,923.5,55.2,37.5,11.8,97.5,26.0,2371061.0,5.5,120.0,281.4,1037.6,93.9,9.5,474148.1175489591
32.0,13.9,470.0,18.1,5.9,286.4,6.3,2015.5,SONBHADRA,211.0,UTTAR PRADESH,725.0,916.9,47.7,34.8,11.9,97.5,28.5,2371061.0,7.0,120.0,292.8,1025.1,126.7,10.3,474183.7840250438
27.4,9.8,470.0,17.6,4.9,421.3,15.7,2015.5,MAHARAJGANJ,233.4,UTTAR PRADESH,725.0,1214.1,82.8,72.3,36.2,97.5,64.8,2371061.0,5.6,120.0,371.9,1389.1,187.5,12.9,474140.03547068243
24.8,9.0,470.0,15.8,7.1,336.9,5.7,2015.5,MAU,226.6,UTTAR PRADESH,725.0,1004.7,57.9,46.6,19.2,97.5,33.9,2371061.0,4.2,120.0,323.5,1121.3,117.7,9.0,474162.9549264953
25.9,10.4,470.0,15.5,1.6,357.8,6.0,2015.5,SIDDHARTH NGR,197.7,UTTAR PRADESH,725.0,1009.9,72.8,63.4,21.8,97.5,37.1,2371061.0,7.8,120.0,314.7,1145.7,139.7,9.3,474164.42260776536
25.4,10.1,470.0,15.3,4.2,369.4,12.7,2015.5,KUSHINAGAR,240.8,UTTAR PRADESH,725.0,1158.4,83.1,71.4,36.1,97.5,59.7,2371061.0,7.5,120.0,365.6,1326.6,182.6,10.9,474125.53931085404
25.8,11.0,470.0,14.8,3.6,317.8,6.2,2015.5,AMBEDKAR NAGAR,202.4,UTTAR PRADESH,725.0,904.8,50.1,40.2,17.9,97.5,32.6,2371061.0,6.3,120.0,282.4,1013.3,102.2,8.5,474174.5482811216
27.0,11.5,470.0,15.5,2.9,244.5,3.7,2015.5,KANNAUJ,161.9,UTTAR PRADESH,725.0,776.7,69.7,61.4,16.2,97.5,28.9,2371061.0,5.4,120.0,311.4,902.3,58.9,9.0,474191.4161257151
35.7,16.9,470.0,18.8,1.2,385.4,9.3,2015.5,BALRAMPUR,215.0,UTTAR PRADESH,725.0,1071.7,84.4,72.6,38.6,97.5,56.1,2371061.0,10.6,120.0,329.9,1247.9,141.4,8.2,474168.06394044746
27.2,11.7,470.0,15.5,6.6,258.8,3.4,2015.5,KAUSHAMBI,166.2,UTTAR PRADESH,725.0,765.6,50.0,36.1,7.4,97.5,18.9,2371061.0,7.3,120.0,268.0,861.7,72.6,8.1,474186.7222978173
29.3,12.0,470.0,17.3,7.8,275.3,3.5,2015.5,SAHUJI MAHARA,207.1,UTTAR PRADESH,725.0,885.9,50.9,36.7,8.1,97.5,20.2,2371061.0,6.4,120.0,315.5,986.3,88.0,8.6,474171.3600639711
24.9,11.4,470.0,13.5,2.9,237.0,2.7,2015.5,KANPUR DEHAT,167.7,UTTAR PRADESH,725.0,765.0,52.8,44.4,6.3,97.5,14.5,2371061.0,5.5,120.0,289.6,857.2,70.7,5.5,474187.3374295642
30.6,12.1,470.0,18.5,10.2,302.3,5.3,2015.5,CHANDAULI,181.0,UTTAR PRADESH,725.0,846.1,45.7,31.8,10.3,97.5,27.2,2371061.0,3.7,120.0,283.8,949.6,79.0,11.6,474192.269021177
24.9,13.1,470.0,11.8,1.2,356.7,5.1,2015.5,SANT KABIR NGR,193.7,UTTAR PRADESH,725.0,990.7,58.6,50.9,20.8,97.5,36.4,2371061.0,6.5,120.0,300.5,1110.6,139.8,10.5,474170.3025110966
30.6,12.1,470.0,18.5,10.2,302.3,5.3,2015.5,SANT RAVIDAS,181.0,UTTAR PRADESH,725.0,846.1,45.7,31.8,10.3,97.5,27.2,2371061.0,3.7,120.0,283.8,949.6,79.0,11.6,474177.8173979623
36.8,16.0,470.0,20.8,2.5,336.8,9.0,2015.5,SHRAVASTI NGR,205.4,UTTAR PRADESH,725.0,993.8,63.6,51.2,32.9,97.5,54.4,2371061.0,9.9,120.0,297.2,1148.6,154.4,12.5,474168.34767433116
27.4,9.9,470.0,17.5,5.0,227.1,4.0,2015.5,AGRA,125.4,UTTAR PRADESH,725.0,687.2,37.8,28.1,9.3,97.5,22.2,2371061.0,4.7,120.0,280.9,774.6,53.8,8.9,474201.58577549347
32.1,12.6,470.0,19.5,4.2,213.1,5.6,2015.5,ALIGARH,133.3,UTTAR PRADESH,725.0,655.7,49.8,39.0,18.4,97.5,33.4,2371061.0,6.6,120.0,261.9,771.0,47.4,9.4,474210.66144990537
39.2,18.9,470.0,20.3,2.4,294.7,5.6,2015.5,BAREILLY,165.8,UTTAR PRADESH,725.0,853.8,66.7,57.9,18.7,97.5,36.9,2371061.0,6.4,120.0,296.7,996.6,96.6,12.6,474171.3944690613
29.5,16.1,470.0,13.4,2.7,252.4,3.7,2015.5,BADAUN,143.5,UTTAR PRADESH,725.0,758.0,67.4,58.8,14.5,97.5,29.9,2371061.0,5.9,120.0,292.7,884.8,69.4,11.7,474186.31837853405
29.4,13.2,470.0,16.2,4.2,224.5,3.9,2015.5,BULANDSHAHAR,138.4,UTTAR PRADESH,725.0,670.7,47.9,36.2,14.0,97.5,31.0,2371061.0,7.5,120.0,254.4,779.0,53.4,13.1,474196.25391846866
25.0,12.0,470.0,13.0,2.3,201.5,4.4,2015.5,ETAH,118.6,UTTAR PRADESH,725.0,615.3,48.2,41.6,11.6,97.5,25.9,2371061.0,4.3,120.0,243.1,714.4,52.1,9.9,474191.9998505187
25.6,11.7,470.0,13.9,2.9,222.0,2.8,2015.5,ETAWAH,151.7,UTTAR PRADESH,725.0,728.0,53.8,45.0,10.5,97.5,22.2,2371061.0,5.9,120.0,293.4,829.6,60.9,8.9,474198.07620277064
27.6,11.5,470.0,16.1,3.9,246.6,2.1,2015.5,HAMIRPUR,164.2,UTTAR PRADESH,725.0,796.9,43.2,33.3,6.7,97.5,14.1,2371061.0,6.0,120.0,309.8,881.8,76.3,5.3,474192.5055527218
24.7,11.2,470.0,13.5,3.6,239.5,2.0,2015.5,JALAUN,158.9,UTTAR PRADESH,725.0,774.9,56.1,47.2,8.1,97.5,15.8,2371061.0,5.3,120.0,310.8,871.5,65.7,5.7,474190.9761345664
24.6,10.5,470.0,14.1,6.6,271.8,4.7,2015.5,JHANSI,177.2,UTTAR PRADESH,725.0,837.9,50.3,37.2,8.7,97.5,18.7,2371061.0,6.5,120.0,309.9,931.5,79.0,5.3,474182.57912866626
30.4,9.4,470.0,21.0,6.7,321.7,3.4,2015.5,LALITPUR,173.3,UTTAR PRADESH,725.0,939.3,48.2,34.1,6.8,97.5,16.7,2371061.0,7.4,120.0,358.1,1034.6,86.2,6.5,474160.4612925795
21.3,9.5,470.0,11.8,3.7,211.5,3.8,2015.5,MAINPURI,136.6,UTTAR PRADESH,725.0,655.3,50.0,40.1,9.9,97.5,21.8,2371061.0,6.2,120.0,245.9,748.4,61.3,8.1,474199.0285467723
20.5,11.2,470.0,9.3,3.8,194.7,4.5,2015.5,MATHURA,102.3,UTTAR PRADESH,725.0,579.9,32.0,23.6,9.5,97.5,23.5,2371061.0,4.6,120.0,241.6,655.9,41.3,9.5,474209.0578548347
41.5,18.3,470.0,23.2,5.4,267.0,9.4,2015.5,MEERUT,148.8,UTTAR PRADESH,725.0,778.5,58.2,41.6,14.4,97.5,39.8,2371061.0,11.2,120.0,300.7,918.0,62.0,16.0,474178.2522273078
44.3,21.8,470.0,22.5,3.3,292.7,4.7,2015.5,MORADABAD,156.7,UTTAR PRADESH,725.0,855.2,59.9,47.7,15.8,97.5,33.5,2371061.0,8.9,120.0,314.8,992.9,91.0,13.0,474177.17214288336
44.6,19.6,470.0,25.0,6.2,265.2,5.9,2015.5,MUZAFFARNAGAR,137.2,UTTAR PRADESH,725.0,736.8,53.1,34.5,14.3,97.5,34.6,2371061.0,12.4,120.0,269.7,869.1,64.7,14.4,474195.2055085682
37.8,16.9,470.0,20.9,4.4,326.5,5.8,2015.5,PILIBHIT,205.9,UTTAR PRADESH,725.0,988.6,85.9,73.6,23.0,97.5,43.1,2371061.0,7.9,120.0,343.5,1155.4,112.7,14.3,474181.39685901214
44.2,22.5,470.0,21.7,4.0,331.5,7.4,2015.5,RAMPUR,155.8,UTTAR PRADESH,725.0,915.5,49.1,34.0,22.2,97.5,48.8,2371061.0,11.1,120.0,321.2,1057.6,107.0,19.2,474174.06077812833
34.4,17.5,470.0,16.9,3.5,290.4,4.8,2015.5,SHAHJAHANPUR,165.3,UTTAR PRADESH,725.0,859.2,79.2,68.5,20.2,97.5,38.0,2371061.0,7.2,120.0,307.3,1010.8,96.2,13.0,474179.5705039072
37.9,18.3,470.0,19.6,5.0,213.5,6.1,2015.5,GHAZIABAD,128.0,UTTAR PRADESH,725.0,641.7,50.1,37.0,12.5,97.5,36.6,2371061.0,8.1,120.0,255.6,766.3,44.6,18.0,474200.7005408424
24.2,10.9,470.0,13.3,2.9,216.9,3.8,2015.5,FIROZABAD,141.8,UTTAR PRADESH,725.0,676.3,43.4,35.5,10.3,97.5,21.6,2371061.0,5.0,120.0,258.1,765.5,59.5,7.5,474182.337287847
28.0,10.6,470.0,17.4,4.7,243.1,1.2,2015.5,MAHOBA,152.8,UTTAR PRADESH,725.0,776.4,35.3,24.9,7.4,97.5,13.4,2371061.0,5.7,120.0,314.3,853.1,66.2,4.8,474192.4998612455
21.9,10.4,470.0,11.5,2.1,213.8,4.0,2015.5,MAHAMAYA NAGA,119.2,UTTAR PRADESH,725.0,625.4,38.4,31.5,10.7,97.5,25.1,2371061.0,4.8,120.0,244.6,710.8,47.8,10.4,474207.5973020994
30.0,16.5,470.0,13.5,3.7,226.9,3.2,2015.5,AURAIYA,145.0,UTTAR PRADESH,725.0,700.0,60.2,50.7,10.8,97.5,21.7,2371061.0,5.8,120.0,268.3,811.9,59.8,7.7,474221.51742112485
